units_lstm1,units_lstm2,dropout_rate,feature_att,temporal_att,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
128,64,0.0,True,False,20,16,108259.09601460573,0.9978799124678948,228.58018594229412,0.7261670599949124,0.7261670599949124,329.0275003926051,1.0536441645354757,1446.6313104629517
128,64,0.0,False,True,20,16,112257.10856422987,0.9978016175543799,237.0358212798019,0.754782300754635,0.754782300754635,335.0479198028692,1.0641925553322455,1401.2939274311066
128,64,0.0,False,False,20,16,115013.65507187383,0.9977476348397843,237.22748367878546,0.7643840712539246,0.7643840712539246,339.1366318637281,1.10073807758482,1384.4483778476715
128,64,0.0,True,True,20,32,158374.26859451793,0.9968984840570974,292.57163256305927,0.9299603514975348,0.9299603514975348,397.96264723528753,1.1532825541740268,708.2736401557922
128,64,0.0,True,False,20,32,117389.25157107145,0.9977011124439334,240.20540470521613,0.7682361945952966,0.7682361945952966,342.62114875044045,1.0960913899732148,703.0688011646271
128,64,0.0,False,True,20,32,147855.74625635962,0.9971044731045423,270.9135487319106,0.8541326855677585,0.8541326855677585,384.52015065059936,1.1698859366125172,684.3024249076843
128,64,0.0,False,False,20,32,368811.10769699066,0.9927774029165657,491.70677725525644,1.4914903259834382,1.4914903259834382,607.2982032716634,1.2990538013660142,674.5788884162903
128,64,0.0,True,True,20,64,187185.12377986655,0.9963342678654205,309.91786874248515,0.9557363835432259,0.9557363835432259,432.648961376156,1.25233949542789,376.14115023612976
128,64,0.0,True,False,20,64,139244.78577315618,0.9972731054932464,265.1981614108634,0.8554791564617044,0.8554791564617044,373.1551765327076,1.2054573208606767,370.3700408935547
128,64,0.0,False,True,20,64,204040.16918445725,0.9960041877804129,354.5110484998348,1.1800184390664001,1.1800184390664001,451.7080574712579,1.2308356889018737,363.42731165885925
128,64,0.0,False,False,20,64,423482.09879274986,0.9917067558221699,518.4200636393238,1.5840266827617904,1.5840266827617904,650.7550221033641,1.465539623933773,353.18446135520935
128,64,0.0,True,True,50,16,110652.35091224362,0.9978330442595278,234.10818797192243,0.7488817875728676,0.7488817875728676,332.6444812592622,1.0411809303107664,3758.544431447983
128,64,0.0,True,False,50,16,100403.9569684616,0.9980337432587267,223.77295964995224,0.7188920923235176,0.7188920923235176,316.8658343344413,1.0171088780793214,3675.0841290950775
128,64,0.0,False,True,50,16,115019.59598025642,0.9977475184962507,240.15597270281626,0.763124818001956,0.763124818001956,339.1453906221584,1.0889269475083019,3609.7008488178253
128,64,0.0,False,False,50,16,129889.20684368163,0.9974563200865156,263.2762734037758,0.8361069657743062,0.8361069657743062,360.40145233292503,1.0709376774440629,3538.5712628364563
128,64,0.0,True,True,50,32,110294.08966435665,0.9978400602538676,238.17321210167586,0.7670152438100172,0.7670152438100172,332.1055399483072,1.08822160032189,1836.0791246891022
128,64,0.0,True,False,50,32,146175.2329285893,0.9971373833678356,291.22262579551847,0.9244846976993873,0.9244846976993873,382.32869749547876,1.0075060614942348,1806.5116157531738
128,64,0.0,False,True,50,32,98751.91157587104,0.9980660960213882,217.41626927472063,0.6937780442496866,0.6937780442496866,314.2481687709111,1.018465638703445,1762.8613805770874
128,64,0.0,False,False,50,32,168830.7004382107,0.9966937109562843,320.5370676033281,1.0018999861410935,1.0018999861410935,410.89013183357264,1.0512149338736627,1724.5901651382446
128,64,0.0,True,True,50,64,109547.54417266909,0.997854680196647,232.61034500609972,0.7412072028376465,0.7412072028376465,330.97967335271375,1.0230112958118198,944.1709790229797
128,64,0.0,True,False,50,64,181403.68492557848,0.9964474884342579,310.33629597816656,0.9412506409619894,0.9412506409619894,425.9151146949102,1.2205006072757218,941.8175373077393
128,64,0.0,False,True,50,64,104559.44261571586,0.9979523644773133,227.14200234824207,0.7198032250343321,0.7198032250343321,323.3565255499197,1.0124933442270894,900.3875887393951
128,64,0.0,False,False,50,64,202995.19969964115,0.9960246518971269,344.019592412231,1.0608423244597587,1.0608423244597587,450.5498859167996,1.1659939461351991,899.2508971691132
128,64,0.2,True,True,10,16,1447092.9905715575,0.9716609142321513,895.5187254269886,2.469256223754175,2.469256223754175,1202.9517823136378,2.627846758838426,776.7884724140167
128,64,0.2,True,False,10,16,158706.74579228077,0.9968919730036373,291.81045993421185,0.9328664133079985,0.9328664133079985,398.3801523573693,1.305735238286463,751.2024822235107
128,64,0.2,False,True,10,16,137318.74580524556,0.9973108240173486,266.2941581854532,0.8646095084886896,0.8646095084886896,370.565440651507,1.208568231725749,746.871185541153
128,64,0.2,False,False,10,16,159699.63243383827,0.9968725288491316,292.7130289301896,0.9433852618443813,0.9433852618443813,399.62436416444666,1.299232792312847,721.0936777591705
128,64,0.2,True,True,10,32,333656.6456373062,0.9934658488712645,426.26495345438656,1.3652668988539554,1.3652668988539554,577.6301979963532,1.6659145512285285,374.5845992565155
128,64,0.2,True,False,10,32,256791.83949316852,0.9949711276253185,374.95872716821646,1.131766943583391,1.131766943583391,506.7463265709664,1.4047044636236088,370.1036202907562
128,64,0.2,False,True,10,32,163765.55309402075,0.9967929040599405,292.5616713679373,0.9165406394616376,0.9165406394616376,404.6795684168164,1.2357330669219246,363.6968970298767
128,64,0.2,False,False,10,32,333797.6915806175,0.9934630867038636,438.9847312290595,1.4094082452085517,1.4094082452085517,577.752275270827,1.8431368506593282,354.5164556503296
128,64,0.2,True,True,10,64,351092.3786227138,0.9931243969150197,444.8373563662674,1.511683502575546,1.511683502575546,592.530487504832,1.932070869256471,194.22592163085938
128,64,0.2,True,False,10,64,294922.39141437697,0.9942243995378279,423.3242411240023,1.3364090887892512,1.3364090887892512,543.0675753664335,1.4279313418875719,188.53417110443115
128,64,0.2,False,True,10,64,771644.5290639991,0.9848885312596264,732.362410793203,2.167494007735065,2.167494007735065,878.4329963429192,1.5611356923110484,184.31627321243286
128,64,0.2,False,False,10,64,376638.3899463444,0.9926241176581623,451.0861169189041,1.4599658456170557,1.4599658456170557,613.7087175088394,1.9805399684320144,180.6507740020752
128,64,0.2,True,True,20,16,1890016.2258693392,0.9629869453611397,1049.7822632882196,2.8688026304973864,2.8688026304973864,1374.7786097657104,2.3494231313491802,1530.555585861206
128,64,0.2,True,False,20,16,137561.74201034274,0.9973060653112099,269.50534156649474,0.8870619905026316,0.8870619905026316,370.89316792082155,1.243129943843953,1498.129308462143
128,64,0.2,False,True,20,16,138297.24658723196,0.9972916615877291,273.26345035561235,0.874714954816652,0.874714954816652,371.88337766997864,1.1392555982072052,1477.5214257240295
128,64,0.2,False,False,20,16,141493.86692202228,0.9972290607055294,277.4024930348099,0.8798076294239201,0.8798076294239201,376.1567052732442,1.126843232345622,1494.0718681812286
128,64,0.2,True,True,20,32,1848248.7507384182,0.963804896983982,1045.4381011720063,2.8654799690256607,2.8654799690256607,1359.503126417302,2.092193758010254,751.8962280750275
128,64,0.2,True,False,20,32,173632.75378215234,0.9965996701431076,305.9090599357393,0.9578606220000462,0.9578606220000462,416.69263706256237,1.288378763404875,731.6056518554688
128,64,0.2,False,True,20,32,160450.94798203072,0.9968578154921478,299.5365027464716,0.9953885170168444,0.9953885170168444,400.5632883603173,1.3828467327199476,714.8205981254578
128,64,0.2,False,False,20,32,154540.54473527402,0.9969735616298347,284.96370404996935,0.9103910200843323,0.9103910200843323,393.11645187561663,1.1903648353726703,703.6035952568054
128,64,0.2,True,True,20,64,439038.1997922686,0.9914021135612295,554.950477430283,1.7640634019755967,1.7640634019755967,662.5995772653863,1.3774580686524773,394.7329397201538
128,64,0.2,True,False,20,64,270094.13220770634,0.9947106227257699,405.60280588587756,1.2972469250606298,1.2972469250606298,519.7058131363419,1.3632707994143833,381.8247103691101
128,64,0.2,False,True,20,64,162560.08964667947,0.9968165112035358,296.2129301630682,1.001410871518731,1.001410871518731,403.18741255981627,1.3819378516653922,379.1399464607239
128,64,0.2,False,False,20,64,273759.2763433075,0.9946388465270826,398.0112439743387,1.2639163298151277,1.2639163298151277,523.2201031528773,1.6394118687277957,354.93815565109253
128,64,0.2,True,True,50,16,124522.04493844486,0.9975614276798448,256.4598126270053,0.8459098553381472,0.8459098553381472,352.87681269593907,1.089729219178459,3729.4635121822357
128,64,0.2,True,False,50,16,137135.52581127774,0.9973144120985273,265.56226702568904,0.8186297200050099,0.8186297200050099,370.31814134778455,1.1243178090916655,3879.6782150268555
128,64,0.2,False,True,50,16,157758.4725028637,0.9969105434744054,301.8694011448054,0.937762279938668,0.937762279938668,397.1882079101338,1.0535957779894949,3734.7166826725006
128,64,0.2,False,False,50,16,109392.6233284342,0.9978577140825967,235.3742099658434,0.7494794776172887,0.7494794776172887,330.745556778068,1.045574299704629,3604.1142184734344
128,64,0.2,True,True,50,32,4440837.358864082,0.9130330451367821,1704.081340659926,4.7152422825794345,4.7152422825794345,2107.3294376684635,2.795951361275866,1814.7765650749207
128,64,0.2,True,False,50,32,119962.02895353959,0.997650728564405,247.22103455417454,0.8106041645771911,0.8106041645771911,346.35535069281025,1.1253927465964584,1813.896592617035
128,64,0.2,False,True,50,32,107783.62448736613,0.9978892238448956,230.66948343994122,0.7309241310771419,0.7309241310771419,328.30416459034774,1.0485512455421102,1756.78986287117
128,64,0.2,False,False,50,32,181948.42836389557,0.9964368204736497,306.53397388534955,0.9203809017209786,0.9203809017209786,426.55413298184743,1.16988838582936,1742.0825035572052
128,64,0.2,True,True,50,64,1532009.4349663667,0.9699979565532154,907.0239665593597,2.4423935001067094,2.4423935001067094,1237.743687104227,2.213001982965028,946.7943229675293
128,64,0.2,True,False,50,64,162255.35393091358,0.9968224789828298,307.90912725677754,0.9947629127970141,0.9947629127970141,402.8093270157899,1.0861335054495225,930.8608038425446
128,64,0.2,False,True,50,64,113920.66638883678,0.9977690393384819,239.115515829151,0.7443064860712431,0.7443064860712431,337.52135693736,1.0230359945556733,903.6237723827362
128,64,0.2,False,False,50,64,111963.18569989661,0.9978073735806448,231.673378267754,0.7359856412329239,0.7359856412329239,334.6090042122247,1.0744270379362204,888.5937647819519
